TIMESTAMP                      | DIR        | DATA/MESSAGE
----------------------------------------------------------------------------------------------------
test                           | OUTGOING   | test
2026-04-26T11:29:00.360524     | INCOMING   | TYPE: added:event - {'title': None, 'event-id': 10001647090040, 'eventId': 10001647090040, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '61183579742', 'userId': '61183579742', 'type': 'message', 'stale': False, 'silent': False, 'stack': 1, 'fresh': 1, 'total': 2231, 'timestamp': '2026-04-26T16:29:00.283Z', 'expiration': None, 'expiration-seconds': None, 'expirationSeconds': None, 'ttl': None, 'show-expiration-from': None, 'showExpirationFrom': None, 'payload': {'auto': True, 'ranking': {'labels': []}, 'automation': {'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False, 'type': 'Elaborate'}, 'message-type': 'botMessage', 'messageType': 'botMessage', 'regeneration': {'is-allowed': True, 'isAllowed': True}, 'tariffication': {'paid': True, 'type': 'free', 'reason': 'dialogs.tariffication.message', 'regeneration': {'cost': 2, 'type': 'subscription_then_purchase'}}, 'type': 'shift'}, 'system': False}
2026-04-26T11:29:00.675867     | INCOMING   | TYPE: staled:event - {'event-id': 10001647090040, 'eventId': 10001647090040, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '61183579742', 'userId': '61183579742', 'type': 'message', 'stack': 0}
2026-04-26T11:29:00.692493     | INCOMING   | TYPE: message:read - {'attendee': '61183579742'}
2026-04-26T11:29:41.423608     | INCOMING   | TYPE: event.bot.typing.started - {'bot-id': 61183579742, 'botId': 61183579742, 'typing-indicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2799}], 'typingIndicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2799}]}
2026-04-26T11:29:44.480113     | INCOMING   | TYPE: event.bot.typing.started - {'bot-id': 61183579742, 'botId': 61183579742, 'typing-indicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2252}], 'typingIndicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2252}]}
2026-04-26T11:29:44.496424     | INCOMING   | TYPE: event.bot.typing.started - {'bot-id': 61183579742, 'botId': 61183579742, 'typing-indicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2252}], 'typingIndicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2252}]}
2026-04-26T11:29:44.513611     | INCOMING   | TYPE: added:event - {'title': None, 'event-id': 10001647090040, 'eventId': 10001647090040, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '61183579742', 'userId': '61183579742', 'type': 'message', 'stale': False, 'silent': False, 'stack': 1, 'fresh': 1, 'total': 2232, 'timestamp': '2026-04-26T16:29:44.423Z', 'expiration': None, 'expiration-seconds': None, 'expirationSeconds': None, 'ttl': None, 'show-expiration-from': None, 'showExpirationFrom': None, 'payload': {'auto': True, 'ranking': {'labels': []}, 'automation': {'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False, 'type': 'QuestionsAfterMessage', 'sub-type': 'QuestionsAfterMessage.0', 'subType': 'QuestionsAfterMessage.0'}, 'message-type': 'botMessage', 'messageType': 'botMessage', 'tariffication': {'paid': True, 'type': 'free', 'reason': 'dialogs.tariffication.message'}, 'type': 'question', 'split-message-group-id': '2777454e3e794145bd26ce6e7fcd9c0d', 'splitMessageGroupId': '2777454e3e794145bd26ce6e7fcd9c0d', 'split-num': 1, 'splitNum': 1, 'split-total-count': 3, 'splitTotalCount': 3}, 'system': False}
2026-04-26T11:29:44.534313     | INCOMING   | TYPE: message:message:v2 - {'id': 2423755696, 'sender': '61183579742', 'recipient': '71450258242', 'type': 1, 'timestamp': 1777220984, 'text': 'Tell me though...', 'tag': '8dea3b106585b8f', 'initial': True, 'status': 1, 'source': None, 'favorite': True, 'auto': True, 'meta': {'message-type': 'botMessage', 'messageType': 'botMessage', 'automation': {'type': 'QuestionsAfterMessage', 'sub-type': 'QuestionsAfterMessage.0', 'subType': 'QuestionsAfterMessage.0', 'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False}, 'auto': True, 'ranking': {'labels': []}, 'tariffication': {'paid': True, 'type': 'free', 'reason': 'dialogs.tariffication.message'}, 'type': 'question', 'split-message-group-id': '2777454e3e794145bd26ce6e7fcd9c0d', 'splitMessageGroupId': '2777454e3e794145bd26ce6e7fcd9c0d', 'split-num': 1, 'splitNum': 1, 'split-total-count': 3, 'splitTotalCount': 3}}
2026-04-26T11:29:44.558253     | INCOMING   | TYPE: event.ai.suggestions.generated - {'user-id': '71450258242', 'userId': '71450258242', 'bot-id': '61183579742', 'botId': '61183579742', 'message-id': 2423755696, 'messageId': 2423755696, 'suggestions': [], 'disabled': True}
2026-04-26T11:29:45.097367     | INCOMING   | TYPE: message:read - {'attendee': '61183579742'}
2026-04-26T11:29:45.120654     | INCOMING   | TYPE: staled:event - {'event-id': 10001647090040, 'eventId': 10001647090040, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '61183579742', 'userId': '61183579742', 'type': 'message', 'stack': 0}
2026-04-26T11:29:46.736330     | INCOMING   | TYPE: event.bot.typing.started - {'bot-id': 61183579742, 'botId': 61183579742, 'typing-indicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2878}], 'typingIndicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2878}]}
2026-04-26T11:29:46.755094     | INCOMING   | TYPE: event.bot.typing.started - {'bot-id': 61183579742, 'botId': 61183579742, 'typing-indicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2878}], 'typingIndicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 2878}]}
2026-04-26T11:29:46.775645     | INCOMING   | TYPE: message:message:v2 - {'id': 2423755732, 'sender': '61183579742', 'recipient': '71450258242', 'type': 1, 'timestamp': 1777220986, 'text': 'Now that the cat is out of the bag, so to speak...', 'tag': '8dea3b10658615e', 'initial': True, 'status': 1, 'source': None, 'favorite': True, 'auto': True, 'meta': {'message-type': 'botMessage', 'messageType': 'botMessage', 'automation': {'type': 'QuestionsAfterMessage', 'sub-type': 'QuestionsAfterMessage.0', 'subType': 'QuestionsAfterMessage.0', 'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False}, 'auto': True, 'ranking': {'labels': []}, 'tariffication': {'paid': True, 'type': 'free', 'reason': 'dialogs.tariffication.message'}, 'type': 'question', 'split-message-group-id': '2777454e3e794145bd26ce6e7fcd9c0d', 'splitMessageGroupId': '2777454e3e794145bd26ce6e7fcd9c0d', 'split-num': 2, 'splitNum': 2, 'split-total-count': 3, 'splitTotalCount': 3}}
2026-04-26T11:29:46.798227     | INCOMING   | TYPE: event.ai.suggestions.generated - {'user-id': '71450258242', 'userId': '71450258242', 'bot-id': '61183579742', 'botId': '61183579742', 'message-id': 2423755732, 'messageId': 2423755732, 'suggestions': [], 'disabled': True}
